id,slug,title,status,file,link
1,001-httpsleetcodecomproblemsrecyclable-and-low-fat-products,https://leetcode.com/problems/recyclable-and-low-fat-products/,TODO,problems/001-httpsleetcodecomproblemsrecyclable-and-low-fat-products.md,https://leetcode.com/problems/recyclable-and-low-fat-products/
2,002-httpsleetcodecomproblemsfind-customer-referee,https://leetcode.com/problems/find-customer-referee/,TODO,problems/002-httpsleetcodecomproblemsfind-customer-referee.md,https://leetcode.com/problems/find-customer-referee/
3,003-httpsleetcodecomproblemsbig-countries,https://leetcode.com/problems/big-countries/,TODO,problems/003-httpsleetcodecomproblemsbig-countries.md,https://leetcode.com/problems/big-countries/
4,004-httpsleetcodecomproblemsarticle-views-i,https://leetcode.com/problems/article-views-i/,TODO,problems/004-httpsleetcodecomproblemsarticle-views-i.md,https://leetcode.com/problems/article-views-i/
5,005-httpsleetcodecomproblemsinvalid-tweets,https://leetcode.com/problems/invalid-tweets/,TODO,problems/005-httpsleetcodecomproblemsinvalid-tweets.md,https://leetcode.com/problems/invalid-tweets/
6,006-httpsleetcodecomproblemsreplace-employee-id-with-the-unique-identifier,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier/,TODO,problems/006-httpsleetcodecomproblemsreplace-employee-id-with-the-unique-identifier.md,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier/
7,007-httpsleetcodecomproblemsproduct-sales-analysis-i,https://leetcode.com/problems/product-sales-analysis-i/,TODO,problems/007-httpsleetcodecomproblemsproduct-sales-analysis-i.md,https://leetcode.com/problems/product-sales-analysis-i/
8,008-httpsleetcodecomproblemscustomer-who-visited-but-did-not-make-any-transactions,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/,TODO,problems/008-httpsleetcodecomproblemscustomer-who-visited-but-did-not-make-any-transactions.md,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/
9,009-httpsleetcodecomproblemsrising-temperature,https://leetcode.com/problems/rising-temperature/,TODO,problems/009-httpsleetcodecomproblemsrising-temperature.md,https://leetcode.com/problems/rising-temperature/
10,010-httpsleetcodecomproblemsaverage-time-of-process-per-machine,https://leetcode.com/problems/average-time-of-process-per-machine/,TODO,problems/010-httpsleetcodecomproblemsaverage-time-of-process-per-machine.md,https://leetcode.com/problems/average-time-of-process-per-machine/
11,011-httpsleetcodecomproblemsemployee-bonus,https://leetcode.com/problems/employee-bonus/,TODO,problems/011-httpsleetcodecomproblemsemployee-bonus.md,https://leetcode.com/problems/employee-bonus/
12,012-httpsleetcodecomproblemsstudents-and-examinations,https://leetcode.com/problems/students-and-examinations/,TODO,problems/012-httpsleetcodecomproblemsstudents-and-examinations.md,https://leetcode.com/problems/students-and-examinations/
13,013-httpsleetcodecomproblemsmanagers-with-at-least-5-direct-reports,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/,TODO,problems/013-httpsleetcodecomproblemsmanagers-with-at-least-5-direct-reports.md,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/
14,014-httpsleetcodecomproblemsconfirmation-rate,https://leetcode.com/problems/confirmation-rate/,TODO,problems/014-httpsleetcodecomproblemsconfirmation-rate.md,https://leetcode.com/problems/confirmation-rate/
15,015-httpsleetcodecomproblemsnot-boring-movies,https://leetcode.com/problems/not-boring-movies/,TODO,problems/015-httpsleetcodecomproblemsnot-boring-movies.md,https://leetcode.com/problems/not-boring-movies/
16,016-httpsleetcodecomproblemsaverage-selling-price,https://leetcode.com/problems/average-selling-price/,TODO,problems/016-httpsleetcodecomproblemsaverage-selling-price.md,https://leetcode.com/problems/average-selling-price/
17,017-httpsleetcodecomproblemsproject-employees-i,https://leetcode.com/problems/project-employees-i/,TODO,problems/017-httpsleetcodecomproblemsproject-employees-i.md,https://leetcode.com/problems/project-employees-i/
